nohup: ignoring input
###training start~~~~
hash_gan.py:285: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  epoch, itr, len(train_loader)*opt.batch_size, loss_d.data[0], loss_g.data[0]))
===> Epoch[0](0/58368): Loss_D: 255.8137817 Loss_G: 0.5221
===> Epoch[0](1/58368): Loss_D: 254.9906006 Loss_G: 0.5029
===> Epoch[0](2/58368): Loss_D: 254.3948669 Loss_G: 0.4878
===> Epoch[0](3/58368): Loss_D: 254.1611786 Loss_G: 0.4751
===> Epoch[0](4/58368): Loss_D: 253.7718658 Loss_G: 0.4631
===> Epoch[0](5/58368): Loss_D: 253.0723267 Loss_G: 0.4526
===> Epoch[0](6/58368): Loss_D: 252.9554596 Loss_G: 0.4436
===> Epoch[0](7/58368): Loss_D: 252.3274536 Loss_G: 0.4367
===> Epoch[0](8/58368): Loss_D: 252.0655823 Loss_G: 0.4300
===> Epoch[0](9/58368): Loss_D: 251.9738922 Loss_G: 0.4259
===> Epoch[0](10/58368): Loss_D: 252.0054016 Loss_G: 0.4226
===> Epoch[0](11/58368): Loss_D: 251.6974945 Loss_G: 0.4199
===> Epoch[0](12/58368): Loss_D: 250.9066925 Loss_G: 0.4180
===> Epoch[0](13/58368): Loss_D: 251.0729065 Loss_G: 0.4171
===> Epoch[0](14/58368): Loss_D: 250.3072662 Loss_G: 0.4162
===> Epoch[0](15/58368): Loss_D: 250.2705536 Loss_G: 0.4155
===> Epoch[0](16/58368): Loss_D: 251.0210419 Loss_G: 0.4151
===> Epoch[0](17/58368): Loss_D: 250.7325592 Loss_G: 0.4137
===> Epoch[0](18/58368): Loss_D: 249.5498505 Loss_G: 0.4140
===> Epoch[0](19/58368): Loss_D: 250.2709351 Loss_G: 0.4125
===> Epoch[0](20/58368): Loss_D: 248.9550476 Loss_G: 0.4138
===> Epoch[0](21/58368): Loss_D: 250.0219574 Loss_G: 0.4123
===> Epoch[0](22/58368): Loss_D: 248.8993988 Loss_G: 0.4121
===> Epoch[0](23/58368): Loss_D: 249.4479523 Loss_G: 0.4112
===> Epoch[0](24/58368): Loss_D: 249.8600464 Loss_G: 0.4111
===> Epoch[0](25/58368): Loss_D: 249.5867462 Loss_G: 0.4107
===> Epoch[0](26/58368): Loss_D: 248.6578064 Loss_G: 0.4103
===> Epoch[0](27/58368): Loss_D: 249.7054901 Loss_G: 0.4096
===> Epoch[0](28/58368): Loss_D: 248.6398621 Loss_G: 0.4100
===> Epoch[0](29/58368): Loss_D: 249.3356171 Loss_G: 0.4095
===> Epoch[0](30/58368): Loss_D: 248.5495605 Loss_G: 0.4088
===> Epoch[0](31/58368): Loss_D: 248.8376007 Loss_G: 0.4095
===> Epoch[0](32/58368): Loss_D: 249.1916199 Loss_G: 0.4077
===> Epoch[0](33/58368): Loss_D: 248.8487244 Loss_G: 0.4077
===> Epoch[0](34/58368): Loss_D: 249.9019318 Loss_G: 0.4075
===> Epoch[0](35/58368): Loss_D: 248.9891968 Loss_G: 0.4069
===> Epoch[0](36/58368): Loss_D: 247.8854675 Loss_G: 0.4065
===> Epoch[0](37/58368): Loss_D: 248.5034637 Loss_G: 0.4061
===> Epoch[0](38/58368): Loss_D: 247.6982422 Loss_G: 0.4060
===> Epoch[0](39/58368): Loss_D: 247.9113159 Loss_G: 0.4051
===> Epoch[0](40/58368): Loss_D: 248.9334717 Loss_G: 0.4056
===> Epoch[0](41/58368): Loss_D: 247.5038300 Loss_G: 0.4052
===> Epoch[0](42/58368): Loss_D: 248.6397400 Loss_G: 0.4045
===> Epoch[0](43/58368): Loss_D: 248.3037109 Loss_G: 0.4043
