nohup: ignoring input
###training start~~~~
hash_gan.py:286: UserWarning: invalid index of a 0-dim tensor. This will be an error in PyTorch 0.5. Use tensor.item() to convert a 0-dim tensor to a Python number
  epoch, itr, len(train_loader)*opt.batch_size, loss_d.data[0], loss_g.data[0]))
===> Epoch[0](0/58368): Loss_D: 128.0845642 Loss_G: 0.5200
===> Epoch[0](1/58368): Loss_D: 127.6399994 Loss_G: 0.5029
===> Epoch[0](2/58368): Loss_D: 127.1589966 Loss_G: 0.4877
===> Epoch[0](3/58368): Loss_D: 126.8152466 Loss_G: 0.4735
===> Epoch[0](4/58368): Loss_D: 126.2780991 Loss_G: 0.4625
===> Epoch[0](5/58368): Loss_D: 126.2507477 Loss_G: 0.4519
===> Epoch[0](6/58368): Loss_D: 125.9476700 Loss_G: 0.4436
===> Epoch[0](7/58368): Loss_D: 125.6788635 Loss_G: 0.4362
===> Epoch[0](8/58368): Loss_D: 125.2352982 Loss_G: 0.4302
===> Epoch[0](9/58368): Loss_D: 124.9435654 Loss_G: 0.4256
===> Epoch[0](10/58368): Loss_D: 124.4147797 Loss_G: 0.4226
===> Epoch[0](11/58368): Loss_D: 124.3310928 Loss_G: 0.4202
===> Epoch[0](12/58368): Loss_D: 124.3504562 Loss_G: 0.4181
===> Epoch[0](13/58368): Loss_D: 125.4056931 Loss_G: 0.4167
===> Epoch[0](14/58368): Loss_D: 124.4410782 Loss_G: 0.4165
===> Epoch[0](15/58368): Loss_D: 124.4183884 Loss_G: 0.4150
===> Epoch[0](16/58368): Loss_D: 124.2268829 Loss_G: 0.4146
===> Epoch[0](17/58368): Loss_D: 124.2501450 Loss_G: 0.4144
===> Epoch[0](18/58368): Loss_D: 124.6258621 Loss_G: 0.4140
===> Epoch[0](19/58368): Loss_D: 124.8452835 Loss_G: 0.4132
===> Epoch[0](20/58368): Loss_D: 124.1604843 Loss_G: 0.4130
===> Epoch[0](21/58368): Loss_D: 124.0993271 Loss_G: 0.4123
===> Epoch[0](22/58368): Loss_D: 124.2356644 Loss_G: 0.4119
===> Epoch[0](23/58368): Loss_D: 124.1097336 Loss_G: 0.4116
===> Epoch[0](24/58368): Loss_D: 124.2893066 Loss_G: 0.4107
===> Epoch[0](25/58368): Loss_D: 123.5164185 Loss_G: 0.4107
===> Epoch[0](26/58368): Loss_D: 122.6695404 Loss_G: 0.4100
===> Epoch[0](27/58368): Loss_D: 123.3124771 Loss_G: 0.4095
===> Epoch[0](28/58368): Loss_D: 122.4789352 Loss_G: 0.4097
===> Epoch[0](29/58368): Loss_D: 122.7827072 Loss_G: 0.4090
===> Epoch[0](30/58368): Loss_D: 123.4406662 Loss_G: 0.4097
===> Epoch[0](31/58368): Loss_D: 123.8931122 Loss_G: 0.4091
===> Epoch[0](32/58368): Loss_D: 122.1589432 Loss_G: 0.4078
===> Epoch[0](33/58368): Loss_D: 122.5186539 Loss_G: 0.4079
===> Epoch[0](34/58368): Loss_D: 122.4686127 Loss_G: 0.4068
===> Epoch[0](35/58368): Loss_D: 121.9237213 Loss_G: 0.4068
===> Epoch[0](36/58368): Loss_D: 122.4539108 Loss_G: 0.4067
===> Epoch[0](37/58368): Loss_D: 122.4737549 Loss_G: 0.4063
===> Epoch[0](38/58368): Loss_D: 122.0640182 Loss_G: 0.4060
===> Epoch[0](39/58368): Loss_D: 121.1995010 Loss_G: 0.4048
===> Epoch[0](40/58368): Loss_D: 121.5746613 Loss_G: 0.4055
===> Epoch[0](41/58368): Loss_D: 121.3787537 Loss_G: 0.4053
===> Epoch[0](42/58368): Loss_D: 122.0286713 Loss_G: 0.4048
===> Epoch[0](43/58368): Loss_D: 121.5381927 Loss_G: 0.4046
===> Epoch[0](44/58368): Loss_D: 120.4957962 Loss_G: 0.4047
===> Epoch[0](45/58368): Loss_D: 120.5567398 Loss_G: 0.4037
===> Epoch[0](46/58368): Loss_D: 120.4825439 Loss_G: 0.4031
===> Epoch[0](47/58368): Loss_D: 120.0625534 Loss_G: 0.4038
===> Epoch[0](48/58368): Loss_D: 120.0911331 Loss_G: 0.4030
===> Epoch[0](49/58368): Loss_D: 121.1874619 Loss_G: 0.4031
===> Epoch[0](50/58368): Loss_D: 120.8119354 Loss_G: 0.4029
===> Epoch[0](51/58368): Loss_D: 119.9415741 Loss_G: 0.4028
===> Epoch[0](52/58368): Loss_D: 121.1311646 Loss_G: 0.4028
===> Epoch[0](53/58368): Loss_D: 120.5150223 Loss_G: 0.4026
===> Epoch[0](54/58368): Loss_D: 119.8236923 Loss_G: 0.4020
===> Epoch[0](55/58368): Loss_D: 119.4167023 Loss_G: 0.4013
===> Epoch[0](56/58368): Loss_D: 120.5816422 Loss_G: 0.4013
===> Epoch[0](57/58368): Loss_D: 120.1992416 Loss_G: 0.4014
===> Epoch[0](58/58368): Loss_D: 120.1969681 Loss_G: 0.4010
===> Epoch[0](59/58368): Loss_D: 120.2960892 Loss_G: 0.4009
===> Epoch[0](60/58368): Loss_D: 119.8862381 Loss_G: 0.4008
===> Epoch[0](61/58368): Loss_D: 118.6623917 Loss_G: 0.4009
===> Epoch[0](62/58368): Loss_D: 118.8612366 Loss_G: 0.3995
===> Epoch[0](63/58368): Loss_D: 119.4380264 Loss_G: 0.3997
